City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Trier-Saarburg, Landkreis",5333.0,10.0,468.0,49.0,27.0,677.0,1070.0,175.0,585.0,95.0,144.0,510.0,487.0,199.0,152.0,282.0,110.0,293.0,2010
"Frankenthal (Pfalz), kreisfreie Stadt",2036.0,2.0,147.0,13.0,7.0,180.0,436.0,85.0,169.0,54.0,45.0,184.0,226.0,104.0,53.0,154.0,53.0,124.0,2010
"Kaiserslautern, kreisfreie Stadt",4951.0,2.0,264.0,21.0,9.0,324.0,1072.0,172.0,430.0,172.0,118.0,430.0,765.0,222.0,146.0,378.0,124.0,302.0,2010
"Landau in der Pfalz, kreisfreie Stadt",2590.0,1.0,155.0,11.0,14.0,182.0,600.0,39.0,172.0,83.0,53.0,301.0,380.0,116.0,76.0,197.0,63.0,147.0,2010
"Ludwigshafen am Rhein, kreisfreie Stadt",6143.0,4.0,318.0,16.0,18.0,682.0,1210.0,333.0,583.0,207.0,109.0,463.0,684.0,363.0,176.0,457.0,144.0,376.0,2010
"Mainz, kreisfreie Stadt",10680.0,5.0,447.0,38.0,21.0,603.0,1774.0,381.0,752.0,674.0,221.0,1183.0,1805.0,594.0,248.0,784.0,416.0,734.0,2010
"Neustadt an der Weinstraße, kreisfreie Stadt",3036.0,0.0,178.0,14.0,9.0,229.0,619.0,76.0,255.0,116.0,79.0,317.0,467.0,115.0,65.0,221.0,84.0,192.0,2010
"Pirmasens, kreisfreie Stadt",2285.0,0.0,202.0,5.0,11.0,177.0,646.0,56.0,175.0,62.0,56.0,179.0,238.0,88.0,43.0,162.0,42.0,143.0,2010
"Speyer, kreisfreie Stadt",2825.0,3.0,192.0,10.0,15.0,206.0,594.0,82.0,244.0,88.0,77.0,291.0,363.0,114.0,90.0,200.0,92.0,164.0,2010
"Worms, kreisfreie Stadt",3824.0,4.0,264.0,21.0,12.0,373.0,828.0,149.0,287.0,131.0,78.0,351.0,463.0,203.0,81.0,248.0,108.0,223.0,2010
"Zweibrücken, kreisfreie Stadt",1601.0,1.0,127.0,15.0,13.0,118.0,407.0,46.0,146.0,48.0,31.0,112.0,166.0,66.0,49.0,124.0,43.0,89.0,2010
"Alzey-Worms, Landkreis",5495.0,3.0,437.0,121.0,27.0,621.0,1182.0,196.0,378.0,208.0,126.0,423.0,642.0,319.0,162.0,258.0,115.0,277.0,2010
"Bad Dürkheim, Landkreis",6407.0,2.0,445.0,39.0,26.0,641.0,1299.0,181.0,688.0,192.0,124.0,661.0,792.0,342.0,173.0,342.0,142.0,318.0,2010
Donnersbergkreis,2981.0,3.0,302.0,61.0,18.0,338.0,605.0,134.0,237.0,77.0,57.0,199.0,320.0,151.0,103.0,187.0,55.0,134.0,2010
"Germersheim, Landkreis",5329.0,16.0,419.0,45.0,39.0,556.0,1130.0,212.0,426.0,152.0,124.0,468.0,555.0,258.0,199.0,288.0,148.0,294.0,2010
"Kaiserslautern, Landkreis",4309.0,1.0,325.0,47.0,37.0,595.0,947.0,144.0,431.0,97.0,75.0,317.0,399.0,198.0,123.0,254.0,69.0,250.0,2010
