Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Kiel, Landeshauptstadt, kreisfreie Stadt",Berufsschulen,3.0,7840.0,3319.0,782.0,2016
"Lübeck, Hansestadt, kreisfreie Stadt",Berufsschulen,8.0,11504.0,4947.0,632.0,2016
"Neumünster, kreisfreie Stadt",Berufsschulen,3.0,5031.0,1969.0,512.0,2016
"Dithmarschen, Landkreis",Berufsschulen,1.0,3174.0,1273.0,172.0,2016
"Herzogtum Lauenburg, Landkreis",Berufsschulen,1.0,2027.0,735.0,271.0,2016
"Nordfriesland, Landkreis",Berufsschulen,2.0,4349.0,1505.0,294.0,2016
"Ostholstein, Landkreis",Berufsschulen,2.0,3984.0,1701.0,377.0,2016
"Pinneberg, Landkreis",Berufsschulen,2.0,5456.0,2022.0,667.0,2016
"Plön, Landkreis",Berufsschulen,1.0,904.0,399.0,95.0,2016
"Rendsburg-Eckernförde, Landkreis",Berufsschulen,2.0,4375.0,1256.0,459.0,2016
"Schleswig-Flensburg, Landkreis",Berufsschulen,1.0,2148.0,721.0,324.0,2016
"Segeberg, Landkreis",Berufsschulen,2.0,4075.0,1365.0,495.0,2016
"Steinburg, Landkreis",Berufsschulen,1.0,2515.0,863.0,404.0,2016
"Stormarn, Landkreis",Berufsschulen,2.0,2727.0,890.0,415.0,2016
Hamburg,Berufsschulen,38.0,36417.0,15607.0,3876.0,2016
"Braunschweig, kreisfreie Stadt",Berufsschulen,14.0,8256.0,3385.0,611.0,2016
"Salzgitter, kreisfreie Stadt",Berufsschulen,5.0,1982.0,624.0,346.0,2016
"Wolfsburg, kreisfreie Stadt",Berufsschulen,4.0,3890.0,1495.0,203.0,2016
"Gifhorn, Landkreis",Berufsschulen,7.0,2869.0,1172.0,207.0,2016
"Goslar, Landkreis",Berufsschulen,8.0,2287.0,748.0,188.0,2016
"Helmstedt, Landkreis",Berufsschulen,4.0,894.0,279.0,98.0,2016
"Northeim, Landkreis",Berufsschulen,8.0,2540.0,803.0,233.0,2016
"Peine, Landkreis",Berufsschulen,3.0,1160.0,446.0,214.0,2016
"Wolfenbüttel, Landkreis",Berufsschulen,3.0,848.0,254.0,157.0,2016
"Göttingen, Landkreis",Berufsschulen,19.0,5417.0,2003.0,755.0,2016
"Region Hannover, Landkreis",Berufsschulen,36.0,27957.0,11216.0,3074.0,2016
"Hannover, Landeshauptstadt",Berufsschulen,27.0,20517.0,9029.0,1972.0,2016
"Diepholz, Landkreis",Berufsschulen,8.0,3132.0,1091.0,232.0,2016
"Hameln-Pyrmont, Landkreis",Berufsschulen,8.0,2541.0,939.0,327.0,2016
"Hildesheim, Landkreis",Berufsschulen,17.0,5092.0,1609.0,642.0,2016
"Holzminden, Landkreis",Berufsschulen,3.0,1123.0,381.0,141.0,2016
"Nienburg (Weser), Landkreis",Berufsschulen,3.0,1943.0,604.0,178.0,2016
"Schaumburg, Landkreis",Berufsschulen,6.0,2203.0,748.0,253.0,2016
"Celle, Landkreis",Berufsschulen,8.0,3279.0,1234.0,293.0,2016
"Cuxhaven, Landkreis",Berufsschulen,9.0,2670.0,831.0,366.0,2016
"Harburg, Landkreis",Berufsschulen,6.0,2172.0,709.0,331.0,2016
"Lüchow-Dannenberg, Landkreis",Berufsschulen,2.0,445.0,123.0,51.0,2016
"Lüneburg, Landkreis",Berufsschulen,8.0,4238.0,1755.0,298.0,2016
"Osterholz, Landkreis",Berufsschulen,2.0,934.0,337.0,115.0,2016
"Rotenburg (Wümme), Landkreis",Berufsschulen,9.0,3570.0,1167.0,361.0,2016
"Heidekreis, Landkreis",Berufsschulen,6.0,2244.0,816.0,250.0,2016
"Stade, Landkreis",Berufsschulen,13.0,4834.0,1681.0,379.0,2016
"Uelzen, Landkreis",Berufsschulen,6.0,1755.0,610.0,137.0,2016
"Verden, Landkreis",Berufsschulen,3.0,2217.0,789.0,186.0,2016
"Delmenhorst, kreisfreie Stadt",Berufsschulen,4.0,1651.0,706.0,177.0,2016
"Emden, kreisfreie Stadt",Berufsschulen,4.0,2869.0,1121.0,100.0,2016
"Oldenburg (Oldenburg), kreisfreie Stadt",Berufsschulen,10.0,10105.0,4541.0,572.0,2016
"Osnabrück, kreisfreie Stadt",Berufsschulen,17.0,11446.0,4550.0,642.0,2016
"Wilhelmshaven, kreisfreie Stadt",Berufsschulen,3.0,1856.0,732.0,150.0,2016
"Ammerland, Landkreis",Berufsschulen,3.0,2449.0,510.0,253.0,2016
"Aurich, Landkreis",Berufsschulen,9.0,3317.0,1403.0,218.0,2016
"Cloppenburg, Landkreis",Berufsschulen,9.0,3872.0,1353.0,330.0,2016
"Emsland, Landkreis",Berufsschulen,21.0,8408.0,2764.0,468.0,2016
"Friesland, Landkreis",Berufsschulen,5.0,1595.0,508.0,111.0,2016
"Grafschaft Bentheim, Landkreis",Berufsschulen,9.0,2631.0,933.0,262.0,2016
"Leer, Landkreis",Berufsschulen,9.0,2961.0,1154.0,161.0,2016
"Oldenburg, Landkreis",Berufsschulen,3.0,975.0,255.0,172.0,2016
"Osnabrück, Landkreis",Berufsschulen,5.0,2299.0,673.0,162.0,2016
"Vechta, Landkreis",Berufsschulen,7.0,3464.0,1037.0,345.0,2016
"Wesermarsch, Landkreis",Berufsschulen,2.0,1456.0,389.0,58.0,2016
"Wittmund, Landkreis",Berufsschulen,3.0,1015.0,410.0,7.0,2016
"Bremen, kreisfreie Stadt",Berufsschulen,18.0,15955.0,6240.0,3089.0,2016
"Bremerhaven, kreisfreie Stadt",Berufsschulen,5.0,3891.0,1541.0,448.0,2016
"Düsseldorf, kreisfreie Stadt",Berufsschulen,10.0,18612.0,8331.0,2669.0,2016
"Duisburg, kreisfreie Stadt",Berufsschulen,10.0,10726.0,3619.0,1979.0,2016
"Essen, kreisfreie Stadt",Berufsschulen,14.0,13830.0,5270.0,2091.0,2016
"Krefeld, kreisfreie Stadt",Berufsschulen,4.0,6200.0,2342.0,762.0,2016
"Mönchengladbach, kreisfreie Stadt",Berufsschulen,5.0,5445.0,2228.0,611.0,2016
"Mülheim an der Ruhr, kreisfreie Stadt",Berufsschulen,2.0,2427.0,825.0,396.0,2016
"Oberhausen, kreisfreie Stadt",Berufsschulen,3.0,3587.0,1530.0,525.0,2016
"Remscheid, kreisfreie Stadt",Berufsschulen,3.0,2078.0,559.0,335.0,2016
"Solingen, kreisfreie Stadt",Berufsschulen,5.0,2703.0,827.0,435.0,2016
"Wuppertal, kreisfreie Stadt",Berufsschulen,6.0,6651.0,2823.0,1299.0,2016
"Kleve, Kreis",Berufsschulen,2.0,4657.0,1449.0,376.0,2016
"Mettmann, Kreis",Berufsschulen,7.0,3991.0,991.0,617.0,2016
Rhein-Kreis Neuss,Berufsschulen,4.0,5429.0,2139.0,801.0,2016
"Viersen, Kreis",Berufsschulen,2.0,3429.0,947.0,384.0,2016
"Wesel, Kreis",Berufsschulen,7.0,6207.0,2341.0,651.0,2016
"Bonn, kreisfreie Stadt",Berufsschulen,5.0,9582.0,4181.0,1206.0,2016
"Köln, kreisfreie Stadt",Berufsschulen,20.0,28363.0,12332.0,3911.0,2016
"Leverkusen, kreisfreie Stadt",Berufsschulen,4.0,3682.0,1200.0,507.0,2016
Städteregion Aachen (einschl. Stadt Aachen),Berufsschulen,10.0,11938.0,4277.0,1704.0,2016
"Aachen, krfr. Stadt",Berufsschulen,6.0,7680.0,3011.0,1053.0,2016
"Düren, Kreis",Berufsschulen,4.0,3867.0,1245.0,419.0,2016
Rhein-Erft-Kreis,Berufsschulen,8.0,6403.0,1953.0,918.0,2016
"Euskirchen, Kreis",Berufsschulen,2.0,2175.0,740.0,212.0,2016
"Heinsberg, Kreis",Berufsschulen,3.0,3471.0,1186.0,343.0,2016
Oberbergischer Kreis,Berufsschulen,5.0,4424.0,1455.0,486.0,2016
Rheinisch-Bergischer Kreis,Berufsschulen,3.0,2437.0,910.0,459.0,2016
Rhein-Sieg-Kreis,Berufsschulen,6.0,5282.0,1497.0,716.0,2016
"Bottrop, kreisfreie Stadt",Berufsschulen,1.0,1038.0,403.0,198.0,2016
"Gelsenkirchen, kreisfreie Stadt",Berufsschulen,4.0,6435.0,1988.0,1102.0,2016
"Münster, kreisfreie Stadt",Berufsschulen,7.0,13369.0,5783.0,1040.0,2016
"Borken, Kreis",Berufsschulen,8.0,8817.0,2823.0,598.0,2016
"Coesfeld, Kreis",Berufsschulen,3.0,3162.0,1051.0,361.0,2016
"Recklinghausen, Kreis",Berufsschulen,9.0,10444.0,3600.0,1585.0,2016
"Steinfurt, Kreis",Berufsschulen,8.0,7063.0,2201.0,763.0,2016
"Warendorf, Kreis",Berufsschulen,3.0,3765.0,1135.0,492.0,2016
"Bielefeld, kreisfreie Stadt",Berufsschulen,9.0,11918.0,4596.0,1375.0,2016
"Gütersloh, Kreis",Berufsschulen,7.0,6151.0,2218.0,685.0,2016
"Herford, Kreis",Berufsschulen,6.0,5273.0,1864.0,515.0,2016
"Höxter, Kreis",Berufsschulen,4.0,2234.0,678.0,204.0,2016
"Lippe, Kreis",Berufsschulen,5.0,4739.0,1690.0,583.0,2016
"Minden-Lübbecke, Kreis",Berufsschulen,4.0,5616.0,1972.0,386.0,2016
"Paderborn, Kreis",Berufsschulen,10.0,6952.0,2327.0,506.0,2016
"Bochum, kreisfreie Stadt",Berufsschulen,7.0,7337.0,3073.0,868.0,2016
"Dortmund, kreisfreie Stadt",Berufsschulen,11.0,16613.0,6521.0,2462.0,2016
"Hagen, kreisfreie Stadt",Berufsschulen,6.0,6825.0,2460.0,912.0,2016
"Hamm, kreisfreie Stadt",Berufsschulen,3.0,3023.0,1164.0,425.0,2016
"Herne, kreisfreie Stadt",Berufsschulen,2.0,1927.0,864.0,368.0,2016
Ennepe-Ruhr-Kreis,Berufsschulen,4.0,3545.0,1104.0,491.0,2016
Hochsauerlandkreis,Berufsschulen,9.0,6256.0,1776.0,494.0,2016
Märkischer Kreis,Berufsschulen,6.0,6370.0,2093.0,923.0,2016
"Olpe, Kreis",Berufsschulen,1.0,2427.0,731.0,300.0,2016
"Siegen-Wittgenstein, Kreis",Berufsschulen,4.0,6956.0,2299.0,612.0,2016
"Soest, Kreis",Berufsschulen,5.0,5037.0,1703.0,504.0,2016
"Unna, Kreis",Berufsschulen,6.0,5850.0,1970.0,895.0,2016
"Darmstadt, kreisfreie Stadt",Berufsschulen,7.0,7477.0,2806.0,1513.0,2016
"Frankfurt am Main, kreisfreie Stadt",Berufsschulen,17.0,20445.0,9490.0,4279.0,2016
"Offenbach am Main, kreisfreie Stadt",Berufsschulen,4.0,2609.0,1047.0,928.0,2016
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",Berufsschulen,5.0,7324.0,2958.0,1690.0,2016
"Bergstraße, Landkreis",Berufsschulen,3.0,2857.0,1024.0,679.0,2016
"Darmstadt-Dieburg, Landkreis",Berufsschulen,1.0,1086.0,281.0,299.0,2016
"Groß-Gerau, Landkreis",Berufsschulen,2.0,3613.0,989.0,881.0,2016
Hochtaunuskreis,Berufsschulen,3.0,2939.0,969.0,663.0,2016
Main-Kinzig-Kreis,Berufsschulen,6.0,6419.0,2210.0,1385.0,2016
Main-Taunus-Kreis,Berufsschulen,3.0,2299.0,888.0,665.0,2016
Odenwaldkreis,Berufsschulen,1.0,943.0,329.0,241.0,2016
"Offenbach, Landkreis",Berufsschulen,3.0,3759.0,1249.0,954.0,2016
Rheingau-Taunus-Kreis,Berufsschulen,2.0,1002.0,245.0,377.0,2016
Wetteraukreis,Berufsschulen,7.0,4445.0,1618.0,793.0,2016
"Gießen, Landkreis",Berufsschulen,5.0,5498.0,2131.0,795.0,2016
Lahn-Dill-Kreis,Berufsschulen,5.0,5060.0,1597.0,842.0,2016
"Limburg-Weilburg, Landkreis",Berufsschulen,5.0,3238.0,1061.0,662.0,2016
"Marburg-Biedenkopf, Landkreis",Berufsschulen,6.0,4483.0,1505.0,703.0,2016
Vogelsbergkreis,Berufsschulen,2.0,2014.0,532.0,255.0,2016
"Kassel, kreisfreie Stadt",Berufsschulen,7.0,8342.0,3070.0,1094.0,2016
"Fulda, Landkreis",Berufsschulen,5.0,5567.0,2022.0,660.0,2016
"Hersfeld-Rotenburg, Landkreis",Berufsschulen,3.0,2786.0,853.0,246.0,2016
"Kassel, Landkreis",Berufsschulen,2.0,2497.0,1162.0,538.0,2016
Schwalm-Eder-Kreis,Berufsschulen,4.0,2901.0,832.0,424.0,2016
"Waldeck-Frankenberg, Landkreis",Berufsschulen,4.0,3649.0,1070.0,497.0,2016
Werra-Meißner-Kreis,Berufsschulen,2.0,1244.0,430.0,214.0,2016
"Koblenz, kreisfreie Stadt",Berufsschulen,3.0,6170.0,2724.0,513.0,2016
"Ahrweiler, Landkreis",Berufsschulen,1.0,1576.0,572.0,195.0,2016
"Altenkirchen (Westerwald), Landkreis",Berufsschulen,2.0,2002.0,626.0,206.0,2016
"Bad Kreuznach, Landkreis",Berufsschulen,4.0,3164.0,1071.0,282.0,2016
"Birkenfeld, Landkreis",Berufsschulen,2.0,1267.0,440.0,84.0,2016
"Cochem-Zell, Landkreis",Berufsschulen,1.0,743.0,287.0,68.0,2016
"Mayen-Koblenz, Landkreis",Berufsschulen,2.0,2238.0,549.0,145.0,2016
"Neuwied, Landkreis",Berufsschulen,6.0,4862.0,1399.0,270.0,2016
Rhein-Hunsrück-Kreis,Berufsschulen,2.0,1806.0,555.0,163.0,2016
Rhein-Lahn-Kreis,Berufsschulen,2.0,1308.0,366.0,152.0,2016
Westerwaldkreis,Berufsschulen,2.0,3151.0,1093.0,298.0,2016
"Trier, kreisfreie Stadt",Berufsschulen,3.0,4691.0,1968.0,404.0,2016
"Bernkastel-Wittlich, Landkreis",Berufsschulen,3.0,1957.0,516.0,198.0,2016
Eifelkreis Bitburg-Prüm,Berufsschulen,4.0,1763.0,528.0,162.0,2016
"Vulkaneifel, Landkreis",Berufsschulen,1.0,1034.0,379.0,72.0,2016
"Trier-Saarburg, Landkreis",Berufsschulen,2.0,705.0,97.0,154.0,2016
"Frankenthal (Pfalz), kreisfreie Stadt",Berufsschulen,2.0,1004.0,344.0,199.0,2016
"Kaiserslautern, kreisfreie Stadt",Berufsschulen,2.0,3927.0,1501.0,274.0,2016
"Landau in der Pfalz, kreisfreie Stadt",Berufsschulen,2.0,1456.0,651.0,135.0,2016
"Ludwigshafen am Rhein, kreisfreie Stadt",Berufsschulen,6.0,8276.0,2903.0,1307.0,2016
"Mainz, kreisfreie Stadt",Berufsschulen,5.0,5267.0,2331.0,785.0,2016
"Neustadt an der Weinstraße, kreisfreie Stadt",Berufsschulen,2.0,2041.0,951.0,223.0,2016
"Pirmasens, kreisfreie Stadt",Berufsschulen,1.0,1132.0,431.0,125.0,2016
"Speyer, kreisfreie Stadt",Berufsschulen,1.0,1245.0,490.0,226.0,2016
"Worms, kreisfreie Stadt",Berufsschulen,3.0,1978.0,675.0,260.0,2016
"Zweibrücken, kreisfreie Stadt",Berufsschulen,1.0,445.0,128.0,33.0,2016
"Alzey-Worms, Landkreis",Berufsschulen,1.0,579.0,202.0,98.0,2016
"Bad Dürkheim, Landkreis",Berufsschulen,1.0,1122.0,425.0,113.0,2016
Donnersbergkreis,Berufsschulen,1.0,659.0,191.0,60.0,2016
"Germersheim, Landkreis",Berufsschulen,1.0,1184.0,296.0,133.0,2016
"Kaiserslautern, Landkreis",Berufsschulen,1.0,329.0,75.0,64.0,2016
"Kusel, Landkreis",Berufsschulen,1.0,442.0,129.0,94.0,2016
"Südliche Weinstraße, Landkreis",Berufsschulen,1.0,686.0,106.0,98.0,2016
"Mainz-Bingen, Landkreis",Berufsschulen,2.0,2008.0,619.0,288.0,2016
"Südwestpfalz, Landkreis",Berufsschulen,1.0,433.0,154.0,26.0,2016
"Stuttgart, Landeshauptstadt, Stadtkreis",Berufsschulen,24.0,20491.0,8795.0,4429.0,2016
"Böblingen, Landkreis",Berufsschulen,7.0,5824.0,1992.0,1382.0,2016
"Esslingen, Landkreis",Berufsschulen,9.0,7275.0,2486.0,1569.0,2016
"Göppingen, Landkreis",Berufsschulen,6.0,5459.0,2034.0,1046.0,2016
"Ludwigsburg, Landkreis",Berufsschulen,9.0,5969.0,2285.0,1759.0,2016
"Rems-Murr-Kreis, Landkreis",Berufsschulen,10.0,6978.0,2143.0,1641.0,2016
"Heilbronn, Universitätsstadt, Stadtkreis",Berufsschulen,7.0,7774.0,3814.0,1526.0,2016
"Heilbronn, Landkreis",Berufsschulen,1.0,2363.0,239.0,264.0,2016
"Hohenlohekreis, Landkreis",Berufsschulen,6.0,2493.0,686.0,403.0,2016
"Schwäbisch Hall, Landkreis",Berufsschulen,7.0,3296.0,1019.0,371.0,2016
"Main-Tauber-Kreis, Landkreis",Berufsschulen,6.0,2655.0,954.0,358.0,2016
"Heidenheim, Landkreis",Berufsschulen,5.0,1660.0,544.0,326.0,2016
"Ostalbkreis, Landkreis",Berufsschulen,9.0,5726.0,1882.0,699.0,2016
"Baden-Baden, Stadtkreis",Berufsschulen,2.0,1924.0,966.0,307.0,2016
"Karlsruhe, Stadtkreis",Berufsschulen,14.0,11529.0,4708.0,1784.0,2016
"Karlsruhe, Landkreis",Berufsschulen,9.0,3845.0,1144.0,1010.0,2016
"Rastatt, Landkreis",Berufsschulen,10.0,3609.0,839.0,621.0,2016
"Heidelberg, Stadtkreis",Berufsschulen,6.0,4163.0,2108.0,705.0,2016
"Mannheim, Stadtkreis",Berufsschulen,9.0,7947.0,3043.0,1860.0,2016
"Neckar-Odenwald-Kreis, Landkreis",Berufsschulen,6.0,2377.0,633.0,332.0,2016
"Rhein-Neckar-Kreis, Landkreis",Berufsschulen,15.0,4526.0,1251.0,1103.0,2016
"Pforzheim, Stadtkreis",Berufsschulen,6.0,3900.0,1596.0,925.0,2016
"Calw, Landkreis",Berufsschulen,6.0,3204.0,1286.0,637.0,2016
"Enzkreis, Landkreis",Berufsschulen,2.0,964.0,195.0,228.0,2016
"Freudenstadt, Landkreis",Berufsschulen,4.0,1695.0,587.0,302.0,2016
"Freiburg im Breisgau, Stadtkreis",Berufsschulen,8.0,8494.0,3694.0,1300.0,2016
"Breisgau-Hochschwarzwald, Landkreis",Berufsschulen,4.0,2057.0,211.0,285.0,2016
"Emmendingen, Landkreis",Berufsschulen,4.0,1804.0,432.0,323.0,2016
"Ortenaukreis, Landkreis",Berufsschulen,12.0,7880.0,2611.0,1087.0,2016
"Rottweil, Landkreis",Berufsschulen,5.0,2837.0,1262.0,498.0,2016
"Schwarzwald-Baar-Kreis, Landkreis",Berufsschulen,10.0,6439.0,2437.0,1113.0,2016
"Tuttlingen, Landkreis",Berufsschulen,3.0,2556.0,621.0,489.0,2016
"Konstanz, Landkreis",Berufsschulen,7.0,4404.0,1780.0,983.0,2016
"Lörrach, Landkreis",Berufsschulen,5.0,4187.0,1455.0,881.0,2016
"Waldshut, Landkreis",Berufsschulen,6.0,2123.0,891.0,523.0,2016
"Reutlingen, Landkreis",Berufsschulen,9.0,5579.0,2010.0,1026.0,2016
"Tübingen, Landkreis",Berufsschulen,4.0,3020.0,1319.0,599.0,2016
"Zollernalbkreis, Landkreis",Berufsschulen,6.0,2565.0,807.0,458.0,2016
"Ulm, Stadtkreis",Berufsschulen,6.0,6110.0,2364.0,1152.0,2016
"Alb-Donau-Kreis, Landkreis",Berufsschulen,4.0,2095.0,303.0,349.0,2016
"Biberach, Landkreis",Berufsschulen,5.0,3921.0,1117.0,500.0,2016
"Bodenseekreis, Landkreis",Berufsschulen,7.0,2917.0,886.0,601.0,2016
"Ravensburg, Landkreis",Berufsschulen,6.0,6245.0,2999.0,854.0,2016
"Sigmaringen, Landkreis",Berufsschulen,5.0,1964.0,617.0,291.0,2016
Ingolstadt,Berufsschulen,2.0,5522.0,2487.0,792.0,2016
"München, Landeshauptstadt",Berufsschulen,40.0,42165.0,17464.0,10699.0,2016
Rosenheim,Berufsschulen,2.0,4215.0,2116.0,763.0,2016
"Altötting, Landkreis",Berufsschulen,1.0,2516.0,686.0,355.0,2016
"Berchtesgadener Land, Landkreis",Berufsschulen,1.0,1388.0,601.0,255.0,2016
"Bad Tölz-Wolfratshausen, Landkreis",Berufsschulen,1.0,2049.0,893.0,457.0,2016
"Dachau, Landkreis",Berufsschulen,1.0,1691.0,673.0,528.0,2016
"Ebersberg, Landkreis",Berufsschulen,2.0,260.0,87.0,70.0,2016
"Eichstätt, Landkreis",Berufsschulen,1.0,1569.0,326.0,376.0,2016
"Erding, Landkreis",Berufsschulen,1.0,2404.0,1116.0,517.0,2016
"Freising, Landkreis",Berufsschulen,2.0,2314.0,675.0,434.0,2016
"Fürstenfeldbruck, Landkreis",Berufsschulen,1.0,2261.0,995.0,506.0,2016
"Garmisch-Partenkirchen, Landkreis",Berufsschulen,2.0,1184.0,578.0,332.0,2016
"Landsberg am Lech, Landkreis",Berufsschulen,2.0,1709.0,321.0,337.0,2016
"Miesbach, Landkreis",Berufsschulen,1.0,1396.0,423.0,300.0,2016
"Mühldorf a.Inn, Landkreis",Berufsschulen,3.0,2741.0,948.0,674.0,2016
"Neuburg-Schrobenhausen, Landkreis",Berufsschulen,2.0,1955.0,521.0,420.0,2016
"Pfaffenhofen a.d.Ilm, Landkreis",Berufsschulen,1.0,1852.0,404.0,271.0,2016
"Rosenheim, Landkreis",Berufsschulen,2.0,3368.0,375.0,808.0,2016
"Starnberg, Landkreis",Berufsschulen,2.0,1611.0,936.0,327.0,2016
"Traunstein, Landkreis",Berufsschulen,4.0,5013.0,1678.0,594.0,2016
"Weilheim-Schongau, Landkreis",Berufsschulen,3.0,3416.0,715.0,530.0,2016
Landshut,Berufsschulen,4.0,5238.0,2194.0,628.0,2016
Passau,Berufsschulen,2.0,4672.0,1983.0,439.0,2016
Straubing,Berufsschulen,3.0,3645.0,1704.0,375.0,2016
"Deggendorf, Landkreis",Berufsschulen,3.0,3572.0,1072.0,276.0,2016
"Freyung-Grafenau, Landkreis",Berufsschulen,1.0,1057.0,194.0,151.0,2016
"Kelheim, Landkreis",Berufsschulen,2.0,2014.0,666.0,364.0,2016
"Passau, Landkreis",Berufsschulen,2.0,1060.0,133.0,243.0,2016
"Regen, Landkreis",Berufsschulen,3.0,1348.0,494.0,267.0,2016
"Rottal-Inn, Landkreis",Berufsschulen,1.0,2183.0,632.0,205.0,2016
"Dingolfing-Landau, Landkreis",Berufsschulen,1.0,2504.0,648.0,208.0,2016
Amberg,Berufsschulen,1.0,1483.0,674.0,152.0,2016
Regensburg,Berufsschulen,5.0,9172.0,3918.0,1135.0,2016
Weiden i.d.OPf.,Berufsschulen,1.0,3293.0,1260.0,336.0,2016
"Amberg-Sulzbach, Landkreis",Berufsschulen,1.0,811.0,301.0,100.0,2016
"Cham, Landkreis",Berufsschulen,1.0,2643.0,870.0,304.0,2016
"Neumarkt i.d.OPf., Landkreis",Berufsschulen,1.0,2398.0,728.0,262.0,2016
"Neustadt a.d.Waldnaab, Landkreis",Berufsschulen,2.0,998.0,259.0,181.0,2016
"Schwandorf, Landkreis",Berufsschulen,2.0,3007.0,750.0,291.0,2016
"Tirschenreuth, Landkreis",Berufsschulen,1.0,1442.0,286.0,183.0,2016
Bamberg,Berufsschulen,4.0,5000.0,2174.0,600.0,2016
Bayreuth,Berufsschulen,4.0,3808.0,1409.0,301.0,2016
Coburg,Berufsschulen,2.0,2672.0,1031.0,283.0,2016
Hof,Berufsschulen,2.0,3314.0,1272.0,266.0,2016
"Bayreuth, Landkreis",Berufsschulen,1.0,627.0,130.0,84.0,2016
"Forchheim, Landkreis",Berufsschulen,1.0,1155.0,464.0,254.0,2016
"Hof, Landkreis",Berufsschulen,1.0,600.0,151.0,126.0,2016
"Kronach, Landkreis",Berufsschulen,1.0,1358.0,321.0,120.0,2016
"Kulmbach, Landkreis",Berufsschulen,3.0,1950.0,408.0,200.0,2016
"Lichtenfels, Landkreis",Berufsschulen,1.0,1515.0,438.0,114.0,2016
"Wunsiedel i.Fichtelgebirge, Landkreis",Berufsschulen,2.0,1774.0,467.0,132.0,2016
Ansbach,Berufsschulen,3.0,3949.0,1612.0,440.0,2016
Erlangen,Berufsschulen,1.0,2929.0,1079.0,473.0,2016
Fürth,Berufsschulen,3.0,4305.0,1329.0,774.0,2016
Nürnberg,Berufsschulen,15.0,18223.0,8357.0,3701.0,2016
Schwabach,Berufsschulen,1.0,766.0,416.0,137.0,2016
"Ansbach, Landkreis",Berufsschulen,2.0,1605.0,453.0,259.0,2016
"Erlangen-Höchstadt, Landkreis",Berufsschulen,1.0,1376.0,458.0,293.0,2016
"Nürnberger Land, Landkreis",Berufsschulen,4.0,2431.0,832.0,479.0,2016
"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",Berufsschulen,2.0,1295.0,303.0,224.0,2016
"Roth, Landkreis",Berufsschulen,2.0,1766.0,243.0,359.0,2016
"Weißenburg-Gunzenhausen, Landkreis",Berufsschulen,3.0,1537.0,460.0,154.0,2016
Aschaffenburg,Berufsschulen,4.0,5111.0,2026.0,910.0,2016
Schweinfurt,Berufsschulen,4.0,4805.0,1942.0,588.0,2016
Würzburg,Berufsschulen,8.0,7595.0,2739.0,761.0,2016
"Bad Kissingen, Landkreis",Berufsschulen,1.0,1594.0,694.0,237.0,2016
"Rhön-Grabfeld, Landkreis",Berufsschulen,1.0,1642.0,311.0,136.0,2016
"Haßberge, Landkreis",Berufsschulen,1.0,1304.0,310.0,268.0,2016
"Kitzingen, Landkreis",Berufsschulen,1.0,2100.0,802.0,313.0,2016
"Miltenberg, Landkreis",Berufsschulen,1.0,1870.0,517.0,323.0,2016
"Main-Spessart, Landkreis",Berufsschulen,1.0,1677.0,484.0,160.0,2016
Augsburg,Berufsschulen,9.0,11039.0,4405.0,1886.0,2016
Kaufbeuren,Berufsschulen,1.0,2230.0,596.0,369.0,2016
Kempten (Allgäu),Berufsschulen,4.0,5177.0,1896.0,669.0,2016
Memmingen,Berufsschulen,2.0,3123.0,1017.0,309.0,2016
"Aichach-Friedberg, Landkreis",Berufsschulen,1.0,1589.0,528.0,415.0,2016
"Augsburg, Landkreis",Berufsschulen,1.0,1369.0,607.0,465.0,2016
"Dillingen a.d.Donau, Landkreis",Berufsschulen,2.0,3151.0,541.0,340.0,2016
"Günzburg, Landkreis",Berufsschulen,3.0,2526.0,922.0,450.0,2016
"Neu-Ulm, Landkreis",Berufsschulen,3.0,2899.0,1094.0,736.0,2016
"Lindau (Bodensee), Landkreis",Berufsschulen,1.0,2035.0,442.0,378.0,2016
"Ostallgäu, Landkreis",Berufsschulen,1.0,1469.0,666.0,278.0,2016
"Unterallgäu, Landkreis",Berufsschulen,1.0,2049.0,626.0,449.0,2016
"Donau-Ries, Landkreis",Berufsschulen,3.0,2650.0,952.0,370.0,2016
"Oberallgäu, Landkreis",Berufsschulen,1.0,2050.0,638.0,367.0,2016
"Saarbrücken, Regionalverband",Berufsschulen,25.0,10468.0,4432.0,1162.0,2016
"Saarbrücken, Landeshauptstadt",Berufsschulen,14.0,7483.0,3508.0,730.0,2016
"Merzig-Wadern, Landkreis",Berufsschulen,11.0,990.0,295.0,189.0,2016
"Neunkirchen, Landkreis",Berufsschulen,10.0,2094.0,675.0,245.0,2016
"Saarlouis, Landkreis",Berufsschulen,19.0,3402.0,1046.0,479.0,2016
Saarpfalz-Kreis,Berufsschulen,16.0,2472.0,586.0,267.0,2016
"St. Wendel, Landkreis",Berufsschulen,8.0,611.0,225.0,103.0,2016
Berlin,Berufsschulen,102.0,50630.0,20949.0,8078.0,2016
"Brandenburg an der Havel, kreisfreie Stadt",Berufsschulen,2.0,1300.0,314.0,36.0,2016
"Cottbus, kreisfreie Stadt",Berufsschulen,2.0,763.0,124.0,21.0,2016
"Frankfurt (Oder), kreisfreie Stadt",Berufsschulen,1.0,926.0,553.0,50.0,2016
