Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Wilhelmshaven, kreisfreie Stadt",Fachgymnasien,2.0,320.0,170.0,14.0,2013
"Ammerland, Landkreis",Fachgymnasien,1.0,206.0,113.0,3.0,2013
"Aurich, Landkreis",Fachgymnasien,3.0,760.0,394.0,17.0,2013
"Cloppenburg, Landkreis",Fachgymnasien,3.0,872.0,452.0,11.0,2013
"Emsland, Landkreis",Fachgymnasien,5.0,1231.0,713.0,15.0,2013
"Friesland, Landkreis",Fachgymnasien,2.0,544.0,323.0,6.0,2013
"Grafschaft Bentheim, Landkreis",Fachgymnasien,3.0,642.0,311.0,32.0,2013
"Leer, Landkreis",Fachgymnasien,2.0,707.0,391.0,14.0,2013
"Oldenburg, Landkreis",Fachgymnasien,1.0,276.0,130.0,4.0,2013
"Vechta, Landkreis",Fachgymnasien,3.0,572.0,302.0,24.0,2013
"Wesermarsch, Landkreis",Fachgymnasien,1.0,221.0,118.0,15.0,2013
