City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Kelheim, Landkreis",1185.0,6.0,0.0,5.0,4.0,5.0,9.0,6.0,9.0,19.0,48.0,57.0,80.0,99.0,138.0,235.0,465.0,2019
"Landshut, Landkreis",1455.0,4.0,0.0,4.0,0.0,0.0,6.0,9.0,11.0,16.0,52.0,66.0,86.0,142.0,199.0,268.0,587.0,2019
"Passau, Landkreis",2204.0,9.0,0.0,0.0,9.0,6.0,6.0,8.0,24.0,47.0,71.0,113.0,139.0,186.0,318.0,437.0,826.0,2019
"Regen, Landkreis",943.0,3.0,0.0,3.0,0.0,5.0,5.0,3.0,12.0,24.0,42.0,46.0,63.0,92.0,116.0,185.0,344.0,2019
"Rottal-Inn, Landkreis",1408.0,7.0,0.0,7.0,6.0,6.0,0.0,8.0,20.0,35.0,36.0,72.0,90.0,92.0,195.0,282.0,547.0,2019
"Straubing-Bogen, Landkreis",1002.0,0.0,0.0,4.0,0.0,5.0,6.0,4.0,9.0,17.0,39.0,45.0,66.0,84.0,125.0,187.0,409.0,2019
"Dingolfing-Landau, Landkreis",936.0,4.0,0.0,0.0,0.0,6.0,0.0,7.0,7.0,30.0,36.0,54.0,49.0,95.0,124.0,177.0,343.0,2019
Amberg,597.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,19.0,32.0,35.0,65.0,71.0,120.0,229.0,2019
Regensburg,1398.0,6.0,0.0,5.0,0.0,7.0,13.0,14.0,23.0,36.0,50.0,77.0,95.0,115.0,166.0,250.0,536.0,2019
Weiden i.d.OPf.,573.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,11.0,31.0,30.0,42.0,50.0,79.0,85.0,225.0,2019
"Amberg-Sulzbach, Landkreis",1175.0,0.0,0.0,0.0,3.0,3.0,6.0,4.0,13.0,13.0,54.0,65.0,76.0,82.0,131.0,229.0,491.0,2019
"Cham, Landkreis",1460.0,7.0,0.0,3.0,7.0,0.0,5.0,12.0,19.0,34.0,48.0,60.0,115.0,107.0,158.0,282.0,600.0,2019
"Neumarkt i.d.OPf., Landkreis",1332.0,4.0,0.0,4.0,0.0,3.0,9.0,6.0,13.0,33.0,42.0,65.0,76.0,96.0,185.0,266.0,525.0,2019
"Neustadt a.d.Waldnaab, Landkreis",1059.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,15.0,31.0,51.0,42.0,81.0,80.0,124.0,197.0,423.0,2019
"Regensburg, Landkreis",1825.0,0.0,0.0,10.0,5.0,5.0,6.0,10.0,24.0,41.0,57.0,90.0,118.0,168.0,251.0,356.0,680.0,2019
"Schwandorf, Landkreis",1654.0,0.0,0.0,5.0,5.0,5.0,6.0,13.0,17.0,29.0,63.0,88.0,123.0,130.0,195.0,328.0,644.0,2019
"Tirschenreuth, Landkreis",1020.0,4.0,0.0,0.0,3.0,0.0,6.0,8.0,10.0,26.0,30.0,54.0,74.0,73.0,124.0,214.0,392.0,2019
Bamberg,834.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,15.0,22.0,47.0,51.0,70.0,115.0,149.0,343.0,2019
Bayreuth,891.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,11.0,21.0,34.0,47.0,59.0,70.0,142.0,168.0,320.0,2019
Coburg,533.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,13.0,8.0,18.0,19.0,37.0,37.0,61.0,104.0,224.0,2019
Hof,612.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,7.0,9.0,16.0,34.0,43.0,50.0,83.0,110.0,244.0,2019
"Bamberg, Landkreis",1571.0,4.0,0.0,6.0,0.0,0.0,9.0,10.0,30.0,42.0,58.0,72.0,106.0,133.0,215.0,305.0,575.0,2019
"Bayreuth, Landkreis",1205.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,30.0,43.0,55.0,74.0,91.0,191.0,250.0,453.0,2019
"Coburg, Landkreis",1052.0,3.0,0.0,0.0,0.0,3.0,4.0,3.0,10.0,17.0,43.0,58.0,60.0,71.0,155.0,228.0,393.0,2019
"Forchheim, Landkreis",1151.0,9.0,3.0,0.0,4.0,0.0,9.0,7.0,6.0,29.0,43.0,73.0,68.0,88.0,149.0,230.0,428.0,2019
"Hof, Landkreis",1329.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,29.0,41.0,69.0,77.0,94.0,184.0,258.0,543.0,2019
"Kronach, Landkreis",892.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,24.0,35.0,42.0,61.0,71.0,91.0,181.0,366.0,2019
"Kulmbach, Landkreis",944.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,17.0,30.0,48.0,67.0,80.0,120.0,207.0,350.0,2019
"Lichtenfels, Landkreis",835.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,5.0,15.0,36.0,43.0,51.0,56.0,104.0,188.0,319.0,2019
"Wunsiedel i.Fichtelgebirge, Landkreis",1153.0,0.0,0.0,3.0,6.0,0.0,0.0,5.0,6.0,21.0,38.0,58.0,97.0,107.0,138.0,237.0,435.0,2019
Ansbach,536.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,30.0,30.0,20.0,45.0,64.0,96.0,228.0,2019
Erlangen,1093.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,17.0,25.0,40.0,60.0,63.0,96.0,130.0,209.0,430.0,2019
Fürth,1361.0,0.0,0.0,0.0,4.0,5.0,5.0,9.0,26.0,30.0,45.0,76.0,90.0,138.0,194.0,250.0,484.0,2019
Nürnberg,5849.0,24.0,10.0,9.0,13.0,24.0,31.0,43.0,78.0,139.0,213.0,293.0,388.0,489.0,782.0,1078.0,2235.0,2019
Schwabach,476.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,14.0,22.0,26.0,52.0,66.0,97.0,173.0,2019
"Ansbach, Landkreis",2063.0,3.0,6.0,9.0,8.0,5.0,6.0,6.0,24.0,38.0,77.0,107.0,157.0,144.0,281.0,397.0,795.0,2019
"Erlangen-Höchstadt, Landkreis",1351.0,5.0,0.0,7.0,5.0,0.0,5.0,6.0,18.0,25.0,44.0,60.0,87.0,115.0,199.0,253.0,516.0,2019
"Fürth, Landkreis",1307.0,3.0,0.0,0.0,3.0,4.0,5.0,5.0,7.0,26.0,37.0,63.0,77.0,123.0,175.0,258.0,517.0,2019
"Nürnberger Land, Landkreis",1845.0,0.0,0.0,4.0,0.0,5.0,5.0,5.0,19.0,45.0,55.0,94.0,110.0,151.0,265.0,354.0,730.0,2019
"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",1112.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,23.0,51.0,48.0,79.0,86.0,129.0,223.0,449.0,2019
"Roth, Landkreis",1357.0,0.0,0.0,7.0,0.0,5.0,7.0,4.0,11.0,24.0,52.0,63.0,101.0,112.0,189.0,262.0,520.0,2019
"Weißenburg-Gunzenhausen, Landkreis",1134.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,10.0,22.0,41.0,69.0,75.0,79.0,138.0,206.0,478.0,2019
Aschaffenburg,815.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,12.0,15.0,41.0,38.0,53.0,47.0,122.0,135.0,334.0,2019
Schweinfurt,737.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,12.0,27.0,38.0,38.0,46.0,84.0,134.0,346.0,2019
Würzburg,1360.0,6.0,3.0,8.0,7.0,5.0,5.0,10.0,18.0,17.0,40.0,42.0,84.0,89.0,165.0,245.0,616.0,2019
"Aschaffenburg, Landkreis",1812.0,3.0,0.0,5.0,0.0,5.0,7.0,9.0,9.0,42.0,69.0,77.0,128.0,152.0,214.0,387.0,700.0,2019
"Bad Kissingen, Landkreis",1314.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,11.0,25.0,49.0,73.0,79.0,98.0,158.0,270.0,537.0,2019
"Rhön-Grabfeld, Landkreis",910.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,12.0,16.0,31.0,51.0,56.0,53.0,102.0,185.0,387.0,2019
"Haßberge, Landkreis",885.0,0.0,3.0,0.0,0.0,5.0,8.0,8.0,8.0,21.0,41.0,49.0,56.0,68.0,106.0,208.0,300.0,2019
"Kitzingen, Landkreis",946.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,6.0,18.0,30.0,41.0,55.0,78.0,120.0,195.0,387.0,2019
"Miltenberg, Landkreis",1405.0,0.0,4.0,0.0,0.0,4.0,9.0,8.0,17.0,22.0,52.0,63.0,94.0,103.0,189.0,286.0,549.0,2019
"Main-Spessart, Landkreis",1390.0,6.0,4.0,0.0,4.0,0.0,5.0,6.0,13.0,30.0,57.0,56.0,88.0,99.0,196.0,285.0,537.0,2019
"Schweinfurt, Landkreis",1259.0,4.0,0.0,7.0,0.0,5.0,5.0,7.0,9.0,26.0,45.0,47.0,91.0,100.0,166.0,269.0,475.0,2019
"Würzburg, Landkreis",1514.0,4.0,0.0,0.0,3.0,3.0,3.0,6.0,14.0,31.0,53.0,84.0,100.0,106.0,195.0,291.0,618.0,2019
Augsburg,3150.0,8.0,6.0,9.0,9.0,12.0,11.0,17.0,28.0,72.0,124.0,139.0,207.0,262.0,419.0,600.0,1227.0,2019
Kaufbeuren,574.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,3.0,14.0,17.0,25.0,32.0,40.0,71.0,93.0,263.0,2019
Kempten (Allgäu),760.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,15.0,27.0,38.0,57.0,76.0,121.0,114.0,290.0,2019
Memmingen,510.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,4.0,15.0,21.0,21.0,23.0,46.0,57.0,76.0,231.0,2019
"Aichach-Friedberg, Landkreis",1260.0,4.0,0.0,0.0,0.0,4.0,7.0,9.0,13.0,24.0,55.0,46.0,74.0,106.0,170.0,254.0,491.0,2019
"Augsburg, Landkreis",2408.0,3.0,3.0,7.0,3.0,10.0,9.0,8.0,25.0,55.0,85.0,114.0,144.0,181.0,342.0,435.0,984.0,2019
"Dillingen a.d.Donau, Landkreis",1024.0,3.0,4.0,3.0,6.0,0.0,3.0,9.0,8.0,21.0,40.0,43.0,71.0,75.0,124.0,197.0,417.0,2019
"Günzburg, Landkreis",1245.0,3.0,0.0,4.0,0.0,4.0,5.0,0.0,14.0,30.0,46.0,63.0,81.0,94.0,172.0,251.0,473.0,2019
"Neu-Ulm, Landkreis",1713.0,6.0,3.0,6.0,3.0,6.0,5.0,4.0,17.0,34.0,50.0,86.0,114.0,129.0,262.0,319.0,669.0,2019
"Lindau (Bodensee), Landkreis",895.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.0,26.0,45.0,61.0,68.0,117.0,162.0,383.0,2019
"Ostallgäu, Landkreis",1471.0,6.0,3.0,5.0,5.0,7.0,3.0,5.0,14.0,32.0,47.0,70.0,68.0,137.0,195.0,269.0,605.0,2019
"Unterallgäu, Landkreis",1510.0,4.0,0.0,3.0,4.0,5.0,0.0,7.0,17.0,40.0,53.0,57.0,103.0,107.0,198.0,279.0,627.0,2019
"Donau-Ries, Landkreis",1338.0,10.0,0.0,6.0,0.0,6.0,9.0,8.0,15.0,28.0,44.0,66.0,73.0,100.0,174.0,227.0,567.0,2019
"Oberallgäu, Landkreis",1647.0,6.0,0.0,0.0,0.0,5.0,6.0,5.0,19.0,43.0,66.0,76.0,94.0,105.0,235.0,290.0,693.0,2019
"Saarbrücken, Regionalverband",4354.0,10.0,3.0,5.0,10.0,8.0,17.0,21.0,44.0,92.0,191.0,275.0,351.0,382.0,576.0,825.0,1544.0,2019
"Saarbrücken, Landeshauptstadt",2212.0,8.0,2.0,5.0,7.0,5.0,9.0,7.0,23.0,51.0,107.0,143.0,187.0,192.0,288.0,398.0,780.0,2019
"Merzig-Wadern, Landkreis",1349.0,4.0,0.0,3.0,2.0,6.0,6.0,9.0,7.0,36.0,60.0,82.0,120.0,110.0,156.0,268.0,480.0,2019
"Neunkirchen, Landkreis",1940.0,6.0,1.0,5.0,2.0,6.0,9.0,12.0,24.0,44.0,65.0,101.0,136.0,168.0,275.0,408.0,678.0,2019
"Saarlouis, Landkreis",2725.0,4.0,2.0,7.0,3.0,1.0,9.0,10.0,31.0,51.0,97.0,151.0,214.0,221.0,389.0,552.0,983.0,2019
Saarpfalz-Kreis,1989.0,5.0,0.0,3.0,2.0,3.0,8.0,7.0,13.0,46.0,81.0,99.0,156.0,153.0,246.0,406.0,761.0,2019
"St. Wendel, Landkreis",1198.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,11.0,22.0,36.0,76.0,87.0,100.0,157.0,249.0,448.0,2019
Berlin,34739.0,119.0,51.0,77.0,85.0,148.0,185.0,266.0,453.0,930.0,1476.0,1883.0,2637.0,3117.0,5601.0,6566.0,11145.0,2019
"Brandenburg an der Havel, kreisfreie Stadt",1136.0,4.0,0.0,0.0,0.0,5.0,7.0,8.0,11.0,24.0,57.0,56.0,84.0,72.0,193.0,223.0,390.0,2019
"Cottbus, kreisfreie Stadt",1272.0,0.0,0.0,4.0,3.0,5.0,8.0,5.0,19.0,17.0,59.0,82.0,107.0,91.0,172.0,253.0,444.0,2019
"Frankfurt (Oder), kreisfreie Stadt",765.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,10.0,14.0,25.0,31.0,73.0,58.0,100.0,144.0,296.0,2019
"Potsdam, kreisfreie Stadt",1789.0,3.0,0.0,5.0,0.0,6.0,8.0,14.0,20.0,35.0,65.0,82.0,110.0,115.0,261.0,370.0,693.0,2019
"Barnim, Landkreis",2179.0,0.0,4.0,0.0,0.0,8.0,10.0,14.0,18.0,62.0,113.0,133.0,187.0,133.0,290.0,430.0,771.0,2019
"Dahme-Spreewald, Landkreis",2040.0,4.0,5.0,0.0,3.0,0.0,5.0,13.0,24.0,35.0,78.0,108.0,156.0,159.0,298.0,442.0,706.0,2019
"Elbe-Elster, Landkreis",1591.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,21.0,35.0,68.0,86.0,124.0,113.0,232.0,350.0,543.0,2019
"Havelland, Landkreis",1910.0,4.0,0.0,0.0,6.0,4.0,8.0,11.0,14.0,56.0,87.0,107.0,145.0,120.0,287.0,395.0,662.0,2019
"Märkisch-Oderland, Landkreis",2405.0,7.0,3.0,4.0,5.0,7.0,12.0,15.0,32.0,72.0,116.0,140.0,180.0,161.0,334.0,489.0,828.0,2019
"Oberhavel, Landkreis",2367.0,4.0,4.0,0.0,0.0,5.0,12.0,13.0,19.0,58.0,108.0,124.0,212.0,160.0,354.0,471.0,818.0,2019
"Oberspreewald-Lausitz, Landkreis",1648.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,17.0,36.0,75.0,96.0,137.0,101.0,232.0,353.0,578.0,2019
"Oder-Spree, Landkreis",2454.0,0.0,4.0,0.0,4.0,4.0,10.0,18.0,24.0,61.0,95.0,157.0,214.0,158.0,361.0,520.0,819.0,2019
"Ostprignitz-Ruppin, Landkreis",1417.0,3.0,0.0,0.0,0.0,4.0,5.0,5.0,19.0,56.0,74.0,95.0,101.0,103.0,207.0,256.0,485.0,2019
"Potsdam-Mittelmark, Landkreis",2343.0,5.0,0.0,5.0,0.0,5.0,9.0,10.0,19.0,44.0,104.0,149.0,173.0,164.0,331.0,470.0,850.0,2019
"Prignitz, Landkreis",1254.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0,30.0,53.0,84.0,96.0,91.0,178.0,245.0,450.0,2019
"Spree-Neiße, Landkreis",1752.0,0.0,0.0,3.0,0.0,3.0,4.0,13.0,16.0,41.0,62.0,123.0,126.0,127.0,259.0,334.0,637.0,2019
"Teltow-Fläming, Landkreis",2007.0,0.0,4.0,3.0,4.0,4.0,12.0,7.0,21.0,51.0,93.0,117.0,130.0,136.0,300.0,441.0,684.0,2019
"Uckermark, Landkreis",1698.0,6.0,0.0,4.0,0.0,8.0,5.0,13.0,16.0,35.0,79.0,107.0,160.0,114.0,256.0,317.0,575.0,2019
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",2525.0,5.0,0.0,7.0,5.0,7.0,17.0,16.0,24.0,69.0,105.0,155.0,195.0,180.0,377.0,501.0,862.0,2019
"Schwerin, Landeshauptstadt, kreisfreie Stadt",1312.0,1.0,1.0,2.0,5.0,5.0,3.0,11.0,14.0,26.0,49.0,65.0,94.0,107.0,179.0,229.0,521.0,2019
"Mecklenburgische Seenplatte, Landkreis",3725.0,5.0,4.0,2.0,7.0,18.0,28.0,28.0,33.0,86.0,207.0,268.0,318.0,243.0,444.0,767.0,1267.0,2019
Landkreis Rostock,2726.0,3.0,4.0,2.0,3.0,10.0,9.0,11.0,34.0,68.0,130.0,202.0,246.0,184.0,355.0,527.0,938.0,2019
"Vorpommern-Rügen, Landkreis",3134.0,0.0,2.0,4.0,5.0,4.0,14.0,16.0,34.0,80.0,165.0,212.0,260.0,206.0,426.0,677.0,1029.0,2019
Landkreis Nordwestmecklenburg,1903.0,5.0,3.0,5.0,1.0,3.0,11.0,17.0,28.0,63.0,94.0,127.0,160.0,132.0,239.0,357.0,658.0,2019
"Vorpommern-Greifswald, Landkreis",3595.0,4.0,6.0,6.0,6.0,10.0,26.0,26.0,41.0,100.0,169.0,242.0,319.0,240.0,461.0,724.0,1215.0,2019
Landkreis Ludwigslust-Parchim,2782.0,5.0,2.0,1.0,3.0,7.0,15.0,21.0,30.0,53.0,152.0,195.0,216.0,165.0,382.0,576.0,959.0,2019
"Chemnitz, Stadt",3520.0,7.0,0.0,4.0,0.0,8.0,12.0,20.0,30.0,62.0,123.0,187.0,235.0,261.0,488.0,645.0,1430.0,2019
Erzgebirgskreis,5185.0,6.0,0.0,6.0,0.0,13.0,14.0,27.0,40.0,87.0,154.0,269.0,421.0,356.0,672.0,990.0,2123.0,2019
"Mittelsachsen, Landkreis",4405.0,6.0,0.0,12.0,0.0,7.0,18.0,20.0,36.0,92.0,143.0,228.0,325.0,295.0,610.0,829.0,1780.0,2019
Vogtlandkreis,3734.0,4.0,4.0,6.0,6.0,9.0,16.0,24.0,30.0,68.0,116.0,172.0,288.0,257.0,531.0,678.0,1525.0,2019
"Zwickau, Landkreis",5089.0,4.0,0.0,11.0,0.0,10.0,19.0,20.0,37.0,107.0,165.0,267.0,371.0,324.0,670.0,1007.0,2070.0,2019
"Dresden, Stadt",5563.0,15.0,11.0,9.0,15.0,23.0,20.0,33.0,52.0,100.0,182.0,239.0,367.0,367.0,803.0,1105.0,2222.0,2019
"Bautzen, Landkreis",4237.0,6.0,0.0,11.0,0.0,9.0,15.0,18.0,37.0,102.0,160.0,211.0,283.0,256.0,583.0,857.0,1680.0,2019
"Görlitz, Landkreis",4019.0,3.0,0.0,0.0,0.0,9.0,19.0,20.0,31.0,89.0,160.0,204.0,282.0,269.0,565.0,737.0,1627.0,2019
"Meißen, Landkreis",3338.0,3.0,0.0,7.0,0.0,10.0,11.0,17.0,33.0,60.0,118.0,169.0,225.0,205.0,439.0,648.0,1390.0,2019
"Sächsische Schweiz-Osterzgebirge, Landkreis",3367.0,3.0,0.0,0.0,0.0,10.0,12.0,11.0,29.0,63.0,100.0,146.0,229.0,232.0,501.0,644.0,1382.0,2019
"Leipzig, Stadt",6250.0,21.0,7.0,18.0,22.0,26.0,34.0,43.0,89.0,145.0,251.0,293.0,421.0,482.0,885.0,1201.0,2312.0,2019
"Leipzig, Landkreis",3500.0,3.0,0.0,0.0,0.0,11.0,13.0,21.0,33.0,84.0,153.0,202.0,249.0,212.0,504.0,642.0,1364.0,2019
"Nordsachsen, Landkreis",2739.0,6.0,0.0,0.0,0.0,3.0,13.0,18.0,30.0,66.0,122.0,141.0,236.0,179.0,357.0,535.0,1021.0,2019
"Dessau-Roßlau, kreisfreie Stadt",1436.0,0.0,3.0,3.0,3.0,3.0,8.0,5.0,15.0,28.0,54.0,74.0,101.0,108.0,207.0,316.0,508.0,2019
"Halle (Saale), kreisfreie Stadt",2800.0,4.0,4.0,7.0,5.0,11.0,12.0,19.0,30.0,64.0,102.0,154.0,238.0,224.0,422.0,476.0,1028.0,2019
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",3079.0,3.0,5.0,6.0,9.0,12.0,11.0,18.0,31.0,70.0,122.0,175.0,236.0,226.0,448.0,619.0,1088.0,2019
Altmarkkreis Salzwedel,1109.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,31.0,68.0,71.0,94.0,73.0,142.0,207.0,394.0,2019
"Anhalt-Bitterfeld, Landkreis",2447.0,0.0,3.0,0.0,0.0,6.0,13.0,12.0,27.0,57.0,101.0,142.0,202.0,160.0,375.0,522.0,822.0,2019
"Börde, Landkreis",2293.0,0.0,0.0,7.0,3.0,7.0,8.0,8.0,23.0,59.0,110.0,164.0,178.0,177.0,310.0,477.0,759.0,2019
Burgenlandkreis,2836.0,0.0,0.0,5.0,4.0,7.0,10.0,15.0,32.0,74.0,119.0,148.0,241.0,206.0,383.0,581.0,1006.0,2019
"Harz, Landkreis",3499.0,3.0,0.0,4.0,6.0,6.0,13.0,17.0,33.0,88.0,147.0,200.0,259.0,242.0,526.0,691.0,1264.0,2019
"Jerichower Land, Landkreis",1371.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,11.0,34.0,72.0,78.0,116.0,92.0,183.0,298.0,469.0,2019
"Mansfeld-Südharz, Landkreis",2145.0,3.0,0.0,5.0,0.0,9.0,6.0,9.0,15.0,46.0,91.0,124.0,180.0,175.0,315.0,432.0,733.0,2019
Saalekreis,2474.0,7.0,4.0,4.0,0.0,0.0,14.0,14.0,29.0,56.0,118.0,158.0,200.0,218.0,360.0,461.0,827.0,2019
Salzlandkreis,3237.0,6.0,0.0,0.0,3.0,5.0,14.0,15.0,32.0,94.0,147.0,194.0,263.0,228.0,532.0,643.0,1056.0,2019
"Stendal, Landkreis",1650.0,0.0,0.0,0.0,0.0,5.0,7.0,13.0,21.0,47.0,80.0,131.0,137.0,110.0,254.0,327.0,510.0,2019
"Wittenberg, Landkreis",1923.0,0.0,0.0,4.0,0.0,5.0,7.0,7.0,26.0,55.0,85.0,118.0,128.0,145.0,295.0,424.0,619.0,2019
"Erfurt, kreisfreie Stadt",2323.0,8.0,0.0,4.0,0.0,16.0,12.0,17.0,25.0,57.0,111.0,145.0,183.0,195.0,336.0,446.0,763.0,2019
"Gera, kreisfreie Stadt",1426.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,25.0,63.0,68.0,92.0,107.0,195.0,247.0,599.0,2019
"Jena, kreisfreie Stadt",1140.0,0.0,0.0,5.0,0.0,8.0,3.0,9.0,13.0,25.0,31.0,58.0,66.0,73.0,166.0,217.0,461.0,2019
"Suhl, kreisfreie Stadt",582.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,17.0,36.0,44.0,44.0,99.0,125.0,198.0,2019
"Weimar, kreisfreie Stadt",797.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,14.0,24.0,31.0,55.0,64.0,124.0,141.0,328.0,2019
"Eisenach, kreisfreie Stadt",626.0,0.0,4.0,3.0,3.0,0.0,3.0,7.0,7.0,11.0,22.0,26.0,44.0,42.0,105.0,135.0,214.0,2019
"Eichsfeld, Kreis",1194.0,7.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,22.0,43.0,69.0,89.0,72.0,176.0,233.0,458.0,2019
"Nordhausen, Kreis",1283.0,0.0,0.0,3.0,0.0,5.0,8.0,6.0,9.0,28.0,54.0,85.0,88.0,87.0,185.0,229.0,493.0,2019
Wartburgkreis,1577.0,0.0,0.0,0.0,3.0,7.0,4.0,7.0,18.0,44.0,69.0,105.0,122.0,117.0,227.0,330.0,519.0,2019
Unstrut-Hainich-Kreis,1416.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,19.0,32.0,46.0,80.0,106.0,103.0,207.0,289.0,510.0,2019
Kyffhäuserkreis,1168.0,0.0,3.0,0.0,0.0,3.0,6.0,6.0,20.0,27.0,58.0,70.0,95.0,84.0,181.0,232.0,379.0,2019
"Schmalkalden-Meiningen, Kreis",1868.0,0.0,0.0,4.0,0.0,5.0,12.0,10.0,19.0,31.0,82.0,92.0,141.0,137.0,266.0,417.0,648.0,2019
"Gotha, Kreis",1793.0,0.0,0.0,0.0,3.0,4.0,9.0,8.0,23.0,34.0,77.0,97.0,131.0,149.0,273.0,329.0,651.0,2019
"Sömmerda, Kreis",961.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,28.0,41.0,69.0,81.0,70.0,145.0,190.0,315.0,2019
"Hildburghausen, Kreis",951.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,16.0,31.0,61.0,77.0,71.0,132.0,201.0,344.0,2019
Ilm-Kreis,1396.0,4.0,0.0,0.0,0.0,3.0,6.0,6.0,10.0,29.0,64.0,72.0,109.0,95.0,188.0,291.0,516.0,2019
"Weimarer Land, Kreis",974.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,5.0,17.0,40.0,54.0,85.0,92.0,142.0,193.0,329.0,2019
"Sonneberg, Kreis",958.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,14.0,39.0,56.0,77.0,69.0,144.0,197.0,329.0,2019
"Saalfeld-Rudolstadt, Kreis",1650.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,14.0,38.0,59.0,60.0,116.0,130.0,224.0,341.0,641.0,2019
Saale-Holzland-Kreis,999.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,11.0,21.0,46.0,74.0,82.0,78.0,139.0,189.0,347.0,2019
Saale-Orla-Kreis,1188.0,3.0,0.0,5.0,5.0,4.0,4.0,5.0,9.0,23.0,38.0,63.0,85.0,86.0,150.0,249.0,459.0,2019
"Greiz, Kreis",1549.0,0.0,0.0,3.0,0.0,4.0,7.0,6.0,8.0,28.0,57.0,85.0,119.0,88.0,223.0,322.0,596.0,2019
"Altenburger Land, Kreis",1377.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,18.0,36.0,49.0,64.0,111.0,108.0,223.0,225.0,528.0,2019
"Flensburg, kreisfreie Stadt",1065.0,0.0,0.0,3.0,0.0,5.0,7.0,12.0,21.0,33.0,45.0,73.0,77.0,98.0,130.0,217.0,337.0,2020
"Kiel, Landeshauptstadt, kreisfreie Stadt",2574.0,11.0,0.0,10.0,12.0,0.0,14.0,22.0,31.0,67.0,102.0,150.0,184.0,246.0,369.0,479.0,869.0,2020
"Lübeck, Hansestadt, kreisfreie Stadt",2811.0,4.0,4.0,5.0,12.0,12.0,15.0,32.0,32.0,64.0,97.0,148.0,206.0,271.0,360.0,524.0,1025.0,2020
"Neumünster, kreisfreie Stadt",1093.0,5.0,0.0,4.0,0.0,3.0,4.0,6.0,17.0,32.0,52.0,53.0,73.0,94.0,143.0,233.0,369.0,2020
"Dithmarschen, Landkreis",1766.0,3.0,0.0,6.0,0.0,0.0,4.0,12.0,18.0,44.0,51.0,99.0,122.0,182.0,265.0,380.0,573.0,2020
"Herzogtum Lauenburg, Landkreis",2352.0,6.0,0.0,4.0,0.0,0.0,7.0,11.0,20.0,53.0,96.0,129.0,163.0,222.0,292.0,470.0,874.0,2020
"Nordfriesland, Landkreis",2062.0,6.0,0.0,0.0,0.0,3.0,3.0,14.0,21.0,45.0,67.0,94.0,152.0,198.0,276.0,407.0,772.0,2020
